,Event,Location,Date,Link
0,UFC Fight Night: Fiziev vs. Gamrot,"Las Vegas, Nevada, USA","September 23, 2023",http://www.ufcstats.com/event-details/c945adc22c2bfe8f
1,UFC Fight Night: Grasso vs. Shevchenko 2,"Las Vegas, Nevada, USA","September 16, 2023",http://www.ufcstats.com/event-details/8fa2b06572365321
2,UFC 293: Adesanya vs. Strickland,"Sydney, New South Wales, Australia","September 09, 2023",http://www.ufcstats.com/event-details/ece280745f8727b8
3,UFC Fight Night: Gane vs. Spivac,"Paris, Ile-de-France, France","September 02, 2023",http://www.ufcstats.com/event-details/ef61d9f5176b3200
4,UFC Fight Night: Holloway vs. The Korean Zombie,"Kallang, Singapore","August 26, 2023",http://www.ufcstats.com/event-details/89a407032911e27e
5,UFC 292: Sterling vs. O'Malley,"Boston, Massachusetts, USA","August 19, 2023",http://www.ufcstats.com/event-details/2719f300b0439039
6,UFC Fight Night: Luque vs. Dos Anjos,"Las Vegas, Nevada, USA","August 12, 2023",http://www.ufcstats.com/event-details/d2fa318f34d0aadc
7,UFC Fight Night: Sandhagen vs. Font,"Nashville, Tennessee, USA","August 05, 2023",http://www.ufcstats.com/event-details/6f81b6de2557739a
8,UFC 291: Poirier vs. Gaethje 2,"Salt Lake City, Utah, USA","July 29, 2023",http://www.ufcstats.com/event-details/ccd58ff71e260ed5
9,UFC Fight Night: Aspinall vs. Tybura,"London, England, United Kingdom","July 22, 2023",http://www.ufcstats.com/event-details/1174782eacde9b0c
10,UFC Fight Night: Holm vs. Bueno Silva,"Las Vegas, Nevada, USA","July 15, 2023",http://www.ufcstats.com/event-details/c9885b1b7c7055a0
11,UFC 290: Volkanovski vs. Rodriguez,"Las Vegas, Nevada, USA","July 08, 2023",http://www.ufcstats.com/event-details/6085ceb59087514b
12,UFC Fight Night: Strickland vs. Magomedov,"Las Vegas, Nevada, USA","July 01, 2023",http://www.ufcstats.com/event-details/e9e1acc96536bb4f
13,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA","June 24, 2023",http://www.ufcstats.com/event-details/a780d16cf7eed44d
14,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA","June 17, 2023",http://www.ufcstats.com/event-details/b9415726dc3ec526
15,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada","June 10, 2023",http://www.ufcstats.com/event-details/b6c6d1731ff00eeb
16,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA","June 03, 2023",http://www.ufcstats.com/event-details/7abe471b61725980
17,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA","May 20, 2023",http://www.ufcstats.com/event-details/6f812143641ceff8
18,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA","May 13, 2023",http://www.ufcstats.com/event-details/901cddcbfa079097
19,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA","May 06, 2023",http://www.ufcstats.com/event-details/3c6976f8182d9527
20,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA","April 29, 2023",http://www.ufcstats.com/event-details/51b1e2fd9872005b
21,UFC Fight Night: Pavlovich vs. Blaydes,"Las Vegas, Nevada, USA","April 22, 2023",http://www.ufcstats.com/event-details/6fb1ba67bef41b37
22,UFC Fight Night: Holloway vs. Allen,"Kansas City, Missouri, USA","April 15, 2023",http://www.ufcstats.com/event-details/15b1b21cd743d652
23,UFC 287: Pereira vs. Adesanya 2,"Miami, Florida, USA","April 08, 2023",http://www.ufcstats.com/event-details/3dc3022232b79c7a
24,UFC Fight Night: Vera vs. Sandhagen,"San Antonio, Texas, USA","March 25, 2023",http://www.ufcstats.com/event-details/aec273fcb765330d
25,UFC 286: Edwards vs. Usman 3,"London, England, United Kingdom","March 18, 2023",http://www.ufcstats.com/event-details/e4bb7e483c4ad318
26,UFC Fight Night: Yan vs. Dvalishvili,"Las Vegas, Nevada, USA","March 11, 2023",http://www.ufcstats.com/event-details/35080a7f406f9ab3
27,UFC 285: Jones vs. Gane,"Las Vegas, Nevada, USA","March 04, 2023",http://www.ufcstats.com/event-details/1ccff7f0cfdf85eb
28,UFC Fight Night: Muniz vs. Allen,"Las Vegas, Nevada, USA","February 25, 2023",http://www.ufcstats.com/event-details/806975e1b4f47b27
29,UFC Fight Night: Andrade vs. Blanchfield,"Las Vegas, Nevada, USA","February 18, 2023",http://www.ufcstats.com/event-details/f21a3d68fb9df387
30,UFC 284: Makhachev vs. Volkanovski,"Perth, Western Australia, Australia","February 11, 2023",http://www.ufcstats.com/event-details/01dd4cdc2446f665
31,UFC Fight Night: Lewis vs. Spivac,"Las Vegas, Nevada, USA","February 04, 2023",http://www.ufcstats.com/event-details/d26394fc0e8e880a
32,UFC 283: Teixeira vs. Hill,"Rio de Janeiro, Rio de Janeiro, Brazil","January 21, 2023",http://www.ufcstats.com/event-details/5717efc6f271cd52
33,UFC Fight Night: Strickland vs. Imavov,"Las Vegas, Nevada, USA","January 14, 2023",http://www.ufcstats.com/event-details/2e2cdb6e9eb84bb9
34,UFC Fight Night: Cannonier vs. Strickland,"Las Vegas, Nevada, USA","December 17, 2022",http://www.ufcstats.com/event-details/56ec58954158966a
35,UFC 282: Blachowicz vs. Ankalaev,"Las Vegas, Nevada, USA","December 10, 2022",http://www.ufcstats.com/event-details/f65a0eb902f9476b
36,UFC Fight Night: Thompson vs. Holland,"Orlando, Florida, USA","December 03, 2022",http://www.ufcstats.com/event-details/b23388ff8ac6637b
37,UFC Fight Night: Nzechukwu vs. Cutelaba,"Las Vegas, Nevada, USA","November 19, 2022",http://www.ufcstats.com/event-details/012fc7cd0779c09a
38,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA","November 12, 2022",http://www.ufcstats.com/event-details/b3b6e80b7d5f8f0d
39,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA","November 05, 2022",http://www.ufcstats.com/event-details/756f45905fb20cb5
40,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA","October 29, 2022",http://www.ufcstats.com/event-details/be5aab761c40ef35
41,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates","October 22, 2022",http://www.ufcstats.com/event-details/885e7f70dcac0007
42,UFC Fight Night: Grasso vs. Araujo,"Las Vegas, Nevada, USA","October 15, 2022",http://www.ufcstats.com/event-details/49c29e57d4e2be6f
43,UFC Fight Night: Dern vs. Yan,"Las Vegas, Nevada, USA","October 01, 2022",http://www.ufcstats.com/event-details/4f670b7972fa0a2e
44,UFC Fight Night: Sandhagen vs. Song,"Las Vegas, Nevada, USA","September 17, 2022",http://www.ufcstats.com/event-details/8d477c3fbe001f9d
45,UFC 279: Diaz vs. Ferguson,"Las Vegas, Nevada, USA","September 10, 2022",http://www.ufcstats.com/event-details/93bf96be327fcd98
46,UFC Fight Night: Gane vs. Tuivasa,"Paris, Ile-de-France, France","September 03, 2022",http://www.ufcstats.com/event-details/00a905a4a4a2b071
47,UFC 278: Usman vs. Edwards,"Salt Lake City, Utah, USA","August 20, 2022",http://www.ufcstats.com/event-details/4f853e98886283cf
48,UFC Fight Night: Vera vs. Cruz,"San Diego, California, USA","August 13, 2022",http://www.ufcstats.com/event-details/a23e63184c65f5b8
49,UFC Fight Night: Santos vs. Hill,"Las Vegas, Nevada, USA","August 06, 2022",http://www.ufcstats.com/event-details/8f6a18831a120817
50,UFC 277: Pena vs. Nunes 2,"Dallas, Texas, USA","July 30, 2022",http://www.ufcstats.com/event-details/b0a6124751a56bc4
51,UFC Fight Night: Blaydes vs. Aspinall,"London, England, United Kingdom","July 23, 2022",http://www.ufcstats.com/event-details/319c15b8aac5bfde
52,UFC Fight Night: Ortega vs. Rodriguez,"Elmont, New York, USA","July 16, 2022",http://www.ufcstats.com/event-details/8fd76e1b49c00ae2
53,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA","July 09, 2022",http://www.ufcstats.com/event-details/31da66df48c0c1a0
54,UFC 276: Adesanya vs. Cannonier,"Las Vegas, Nevada, USA","July 02, 2022",http://www.ufcstats.com/event-details/4a9e305633f3ef47
55,UFC Fight Night: Tsarukyan vs. Gamrot,"Las Vegas, Nevada, USA","June 25, 2022",http://www.ufcstats.com/event-details/eb42d4febfafefd1
56,UFC Fight Night: Kattar vs. Emmett,"Austin, Texas, USA","June 18, 2022",http://www.ufcstats.com/event-details/a0a680fe2f6cc8e6
57,UFC 275: Teixeira vs. Prochazka,"Kallang, Singapore","June 11, 2022",http://www.ufcstats.com/event-details/3a24769a4855040a
58,UFC Fight Night: Volkov vs. Rozenstruik,"Las Vegas, Nevada, USA","June 04, 2022",http://www.ufcstats.com/event-details/57591bbf1623574e
59,UFC Fight Night: Holm vs. Vieira,"Las Vegas, Nevada, USA","May 21, 2022",http://www.ufcstats.com/event-details/a6c32678efd4f434
60,UFC Fight Night: Blachowicz vs. Rakic,"Las Vegas, Nevada, USA","May 14, 2022",http://www.ufcstats.com/event-details/60ba33c3f555a7a3
61,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA","May 07, 2022",http://www.ufcstats.com/event-details/253d3f9e97ca149a
62,UFC Fight Night: Font vs. Vera,"Las Vegas, Nevada, USA","April 30, 2022",http://www.ufcstats.com/event-details/6bf5a7d3e081ade2
63,UFC Fight Night: Lemos vs. Andrade,"Las Vegas, Nevada, USA","April 23, 2022",http://www.ufcstats.com/event-details/236a37d96d476164
64,UFC Fight Night: Luque vs. Muhammad,"Las Vegas, Nevada, USA","April 16, 2022",http://www.ufcstats.com/event-details/8753e125f4499816
65,UFC 273: Volkanovski vs. The Korean Zombie,"Jacksonville, Florida, USA","April 09, 2022",http://www.ufcstats.com/event-details/3a97fda0de6f1fa4
66,UFC Fight Night: Blaydes vs. Daukaus,"Columbus, Ohio, USA","March 26, 2022",http://www.ufcstats.com/event-details/1fac46d466abd5b8
67,UFC Fight Night: Volkov vs. Aspinall,"London, England, United Kingdom","March 19, 2022",http://www.ufcstats.com/event-details/1d00756835ca67c9
68,UFC Fight Night: Santos vs. Ankalaev,"Las Vegas, Nevada, USA","March 12, 2022",http://www.ufcstats.com/event-details/1f9344211ca7fd60
69,UFC 272: Covington vs. Masvidal,"Las Vegas, Nevada, USA","March 05, 2022",http://www.ufcstats.com/event-details/75e0d3cc2262b732
70,UFC Fight Night: Makhachev vs. Green,"Las Vegas, Nevada, USA","February 26, 2022",http://www.ufcstats.com/event-details/f6a7b02c42e9fc5b
71,UFC Fight Night: Walker vs. Hill,"Las Vegas, Nevada, USA","February 19, 2022",http://www.ufcstats.com/event-details/77940e45bc86208e
72,UFC 271: Adesanya vs. Whittaker 2,"Houston, Texas, USA","February 12, 2022",http://www.ufcstats.com/event-details/cbb682f5fcc44bfc
73,UFC Fight Night: Hermansson vs. Strickland,"Las Vegas, Nevada, USA","February 05, 2022",http://www.ufcstats.com/event-details/883922e5cd6d8473
74,UFC 270: Ngannou vs. Gane,"Anaheim, California, USA","January 22, 2022",http://www.ufcstats.com/event-details/335ad945324c3a2e
75,UFC Fight Night: Kattar vs. Chikadze,"Las Vegas, Nevada, USA","January 15, 2022",http://www.ufcstats.com/event-details/f5585e675af7afd4
76,UFC Fight Night: Lewis vs. Daukaus,"Las Vegas, Nevada, USA","December 18, 2021",http://www.ufcstats.com/event-details/2a470ad41c22c25a
77,UFC 269: Oliveira vs. Poirier,"Las Vegas, Nevada, USA","December 11, 2021",http://www.ufcstats.com/event-details/ef927e4fe2117ab8
78,UFC Fight Night: Font vs. Aldo,"Las Vegas, Nevada, USA","December 04, 2021",http://www.ufcstats.com/event-details/509697e08673d2e5
